# Selection function for the two UKIDSS qso.  See selfn.pdf how we got
# this.  Produced using selfn_z7.py.  
#
# dM = 0.1
# dz = 0.1
# 6.5 < z < 7.4
# -29.3 < M1450 < -26.2
#
# counter  z      M1450  p
104  6.80  -28.60  1.0
105  6.80  -28.50  1.0
106  6.80  -28.40  1.0
107  6.80  -28.30  1.0
108  6.80  -28.20  1.0
109  6.80  -28.10  1.0
110  6.80  -28.00  1.0
111  6.80  -27.90  1.0
112  6.80  -27.80  1.0
113  6.80  -27.70  1.0
114  6.80  -27.60  1.0
115  6.80  -27.50  1.0
116  6.80  -27.40  1.0
117  6.80  -27.30  1.0
118  6.80  -27.20  1.0
119  6.80  -27.10  1.0
120  6.80  -27.00  1.0
121  6.80  -26.90  1.0
122  6.80  -26.80  1.0
123  6.80  -26.70  1.0
124  6.80  -26.60  1.0
125  6.80  -26.50  1.0
126  6.80  -26.40  1.0
127  6.80  -26.30  1.0
128  6.80  -26.20  1.0
129  6.90  -29.30  1.0
130  6.90  -29.20  1.0
131  6.90  -29.10  1.0
132  6.90  -29.00  1.0
133  6.90  -28.90  1.0
134  6.90  -28.80  1.0
135  6.90  -28.70  1.0
136  6.90  -28.60  1.0
137  6.90  -28.50  1.0
138  6.90  -28.40  1.0
139  6.90  -28.30  1.0
140  6.90  -28.20  1.0
141  6.90  -28.10  1.0
142  6.90  -28.00  1.0
143  6.90  -27.90  1.0
144  6.90  -27.80  1.0
145  6.90  -27.70  1.0
146  6.90  -27.60  1.0
147  6.90  -27.50  1.0
148  6.90  -27.40  1.0
149  6.90  -27.30  1.0
150  6.90  -27.20  1.0
151  6.90  -27.10  1.0
152  6.90  -27.00  1.0
153  6.90  -26.90  1.0
154  6.90  -26.80  1.0
155  6.90  -26.70  1.0
156  6.90  -26.60  1.0
157  6.90  -26.50  1.0
158  6.90  -26.40  1.0
159  6.90  -26.30  1.0
160  6.90  -26.20  1.0
161  7.00  -29.30  1.0
162  7.00  -29.20  1.0
163  7.00  -29.10  1.0
164  7.00  -29.00  1.0
165  7.00  -28.90  1.0
166  7.00  -28.80  1.0
167  7.00  -28.70  1.0
168  7.00  -28.60  1.0
169  7.00  -28.50  1.0
170  7.00  -28.40  1.0
171  7.00  -28.30  1.0
172  7.00  -28.20  1.0
173  7.00  -28.10  1.0
174  7.00  -28.00  1.0
175  7.00  -27.90  1.0
176  7.00  -27.80  1.0
177  7.00  -27.70  1.0
178  7.00  -27.60  1.0
179  7.00  -27.50  1.0
180  7.00  -27.40  1.0
181  7.00  -27.30  1.0
182  7.00  -27.20  1.0
183  7.00  -27.10  1.0
184  7.00  -27.00  1.0
185  7.00  -26.90  1.0
186  7.00  -26.80  1.0
187  7.00  -26.70  1.0
188  7.00  -26.60  1.0
189  7.00  -26.50  1.0
190  7.00  -26.40  1.0
191  7.00  -26.30  1.0
192  7.00  -26.20  1.0
193  7.10  -29.30  1.0
194  7.10  -29.20  1.0
195  7.10  -29.10  1.0
196  7.10  -29.00  1.0
197  7.10  -28.90  1.0
198  7.10  -28.80  1.0
199  7.10  -28.70  1.0
200  7.10  -28.60  1.0
201  7.10  -28.50  1.0
202  7.10  -28.40  1.0
203  7.10  -28.30  1.0
204  7.10  -28.20  1.0
205  7.10  -28.10  1.0
206  7.10  -28.00  1.0
207  7.10  -27.90  1.0
208  7.10  -27.80  1.0
209  7.10  -27.70  1.0
210  7.10  -27.60  1.0
211  7.10  -27.50  1.0
212  7.10  -27.40  1.0
213  7.10  -27.30  1.0
214  7.10  -27.20  1.0
215  7.10  -27.10  1.0
216  7.10  -27.00  1.0
217  7.10  -26.90  1.0
218  7.10  -26.80  1.0
219  7.10  -26.70  1.0
220  7.10  -26.60  1.0
221  7.10  -26.50  1.0
222  7.10  -26.40  1.0
223  7.10  -26.30  1.0
224  7.10  -26.20  1.0
225  7.20  -29.30  1.0
226  7.20  -29.20  1.0
227  7.20  -29.10  1.0
228  7.20  -29.00  1.0
229  7.20  -28.90  1.0
230  7.20  -28.80  1.0
231  7.20  -28.70  1.0
232  7.20  -28.60  1.0
233  7.20  -28.50  1.0
234  7.20  -28.40  1.0
235  7.20  -28.30  1.0
236  7.20  -28.20  1.0
237  7.20  -28.10  1.0
238  7.20  -28.00  1.0
239  7.20  -27.90  1.0
240  7.20  -27.80  1.0
241  7.20  -27.70  1.0
242  7.20  -27.60  1.0
243  7.20  -27.50  1.0
244  7.20  -27.40  1.0
245  7.20  -27.30  1.0
246  7.20  -27.20  1.0
247  7.20  -27.10  1.0
248  7.20  -27.00  1.0
249  7.20  -26.90  1.0
250  7.20  -26.80  1.0
251  7.20  -26.70  1.0
252  7.20  -26.60  1.0
253  7.20  -26.50  1.0
254  7.20  -26.40  1.0
255  7.20  -26.30  1.0
256  7.20  -26.20  1.0
257  7.30  -29.30  1.0
258  7.30  -29.20  1.0
259  7.30  -29.10  1.0
260  7.30  -29.00  1.0
261  7.30  -28.90  1.0
262  7.30  -28.80  1.0
263  7.30  -28.70  1.0
264  7.30  -28.60  1.0
265  7.30  -28.50  1.0
266  7.30  -28.40  1.0
267  7.30  -28.30  1.0
268  7.30  -28.20  1.0
269  7.30  -28.10  1.0
270  7.30  -28.00  1.0
271  7.30  -27.90  1.0
272  7.30  -27.80  1.0
273  7.30  -27.70  1.0
274  7.30  -27.60  1.0
275  7.30  -27.50  1.0
276  7.30  -27.40  1.0
277  7.30  -27.30  1.0
278  7.30  -27.20  1.0
279  7.30  -27.10  1.0
280  7.30  -27.00  1.0
281  7.30  -26.90  1.0
282  7.30  -26.80  1.0
283  7.30  -26.70  1.0
284  7.30  -26.60  1.0
285  7.30  -26.50  1.0
286  7.30  -26.40  1.0
287  7.30  -26.30  1.0
288  7.30  -26.20  1.0
289  7.40  -29.30  1.0
290  7.40  -29.20  1.0
291  7.40  -29.10  1.0
292  7.40  -29.00  1.0
293  7.40  -28.90  1.0
294  7.40  -28.80  1.0
295  7.40  -28.70  1.0
296  7.40  -28.60  1.0
297  7.40  -28.50  1.0
298  7.40  -28.40  1.0
299  7.40  -28.30  1.0
300  7.40  -28.20  1.0
301  7.40  -28.10  1.0
302  7.40  -28.00  1.0
303  7.40  -27.90  1.0
304  7.40  -27.80  1.0
305  7.40  -27.70  1.0
306  7.40  -27.60  1.0
307  7.40  -27.50  1.0
308  7.40  -27.40  1.0
309  7.40  -27.30  1.0
310  7.40  -27.20  1.0
311  7.40  -27.10  1.0
312  7.40  -27.00  1.0
313  7.40  -26.90  1.0
314  7.40  -26.80  1.0
315  7.40  -26.70  1.0
316  7.40  -26.60  1.0
317  7.40  -26.50  1.0
318  7.40  -26.40  1.0
319  7.40  -26.30  1.0
320  7.40  -26.20  1.0
