#  
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2016-11-16T15:22:07 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to: cds-question@unistra.fr
# 
#   
#Coosys J2000: eq_FK5 J2000 
#INFO votable-version=1.99+ (14-Oct-2013) 
#INFO -ref=VIZ582c79556c5c 
#INFO -out.max=unlimited 
#INFO queryParameters=15 
#-oc.form=sexa
#-out.max=unlimited
#-order=I
#-out.src=J/AJ/131/2766/table5
#-nav=cat:J/AJ/131/2766&tab:{J/AJ/131/2766/table5}&key:source=J/AJ/131/2766/table5&HTTPPRM:&&-ref=VIZ582c79556c5c&-out.max=50&-out.form=HTML Table&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-order=I&-out=z&-out=imag&-out=iMAG&-out=Cor&-ignore=SDSS=*&SDSS=SDSS&NED=NED&Simbad=Simbad&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=J/AJ/131/2766/table5
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/AJ/131/2766/table5
#-order=I
#-out=z
#-out=imag
#-out=iMAG
#-out=Cor
#

#RESOURCE=yCat_51312766
#Name: J/AJ/131/2766
#Title: Quasar luminosity function from SDSS-DR3 (Richards+, 2006)
#Table J_AJ_131_2766_table5:
#Name: J/AJ/131/2766/table5
#Title: Statistical quasar sample
#---Details of Columns:
#     z          (F6.3)  Redshift [ucd=src.redshift]
#     imag (mag) (F5.2)  Dereddened i band magnitude [ucd=phot.mag;em.opt.I]
#     iMAG (mag) (F6.2)  Absolute i band magnitude at z=2 [ucd=phys.magAbs]
#     Cor        (F5.2)  [0,1] Selection function value [ucd=meta.note]
# ------ ----- ------ -----
#        imag  iMAG        
# z      (mag) (mag)  Cor  
# ------ ----- ------ -----
 0.363 17.32 -24.53  0.95
 1.043 17.98 -26.26  0.95
 2.292 18.74 -27.37  0.95
 3.962 19.51 -27.85  0.94
 3.770 20.15 -27.06  0.88
 1.225 19.04 -25.49  0.95
 0.719 19.01 -24.45  0.94
 1.229 18.98 -25.55  0.95
 3.348 18.55 -28.44  0.87
 1.655 18.50 -26.68  0.95
 1.801 18.82 -26.57  0.95
 0.743 17.95 -25.60  0.94
 1.886 18.87 -26.65  0.95
 2.069 18.64 -27.17  0.95
 0.794 18.32 -25.38  0.95
 4.031 19.17 -28.22  0.94
 2.110 18.69 -27.18  0.95
 1.992 17.97 -27.73  0.95
 0.494 17.80 -24.66  0.95
 0.493 18.65 -23.82  0.95
 1.040 18.34 -25.89  0.95
 1.666 18.52 -26.68  0.95
 2.277 17.73 -28.37  0.88
 1.048 17.67 -26.57  0.95
 3.355 20.00 -26.99  0.68
 1.552 18.87 -26.14  0.95
 1.637 18.48 -26.68  0.95
 0.636 17.73 -25.35  0.95
 0.340 18.28 -23.43  0.95
 0.978 18.80 -25.33  0.95
 0.854 18.84 -25.02  0.95
 4.028 19.84 -27.55  0.94
 1.757 19.08 -26.25  0.95
 1.914 19.07 -26.50  0.95
 0.970 18.89 -25.22  0.95
 1.446 18.47 -26.41  0.95
 2.228 18.97 -27.06  0.92
 1.630 18.82 -26.32  0.95
 1.067 18.75 -25.52  0.95
 1.778 18.97 -26.39  0.95
 1.701 19.03 -26.22  0.95
 0.980 18.68 -25.44  0.95
 0.665 18.77 -24.45  0.93
 1.933 18.42 -27.18  0.95
 1.088 18.92 -25.38  0.95
 0.411 18.33 -23.76  0.95
 2.342 19.00 -27.18  0.77
 3.424 19.16 -27.86  0.67
 4.053 19.95 -27.46  0.92
 1.194 18.84 -25.64  0.95
 2.413 18.91 -27.34  0.67
 1.268 18.76 -25.85  0.95
 0.588 18.95 -23.94  0.95
 0.400 18.73 -23.31  0.95
 0.644 18.16 -24.97  0.94
 3.739 20.11 -27.08  0.87
 3.657 19.57 -27.56  0.82
 0.855 16.84 -27.02  0.95
 1.789 18.92 -26.45  0.95
 1.335 18.81 -25.91  0.95
 2.126 17.11 -28.78  0.95
 3.112 19.79 -27.01  0.69
 2.382 18.22 -28.00  0.78
 1.816 18.71 -26.71  0.95
 1.287 18.99 -25.65  0.95
 0.444 16.96 -25.26  0.95
 1.825 16.82 -28.61  0.95
 1.193 18.62 -25.85  0.95
 2.319 17.33 -28.81  0.83
 0.420 18.87 -23.25  0.95
 2.070 18.60 -27.21  0.95
 1.028 18.45 -25.76  0.95
 1.117 18.32 -26.04  0.95
 1.207 19.10 -25.40  0.95
 1.281 18.93 -25.71  0.95
 2.113 18.30 -27.58  0.95
 0.421 18.86 -23.27  0.95
 1.547 18.75 -26.26  0.95
 1.607 18.63 -26.47  0.95
 1.059 19.08 -25.18  0.95
 1.837 18.79 -26.65  0.95
 3.021 19.82 -26.91  0.44
 1.492 18.68 -26.25  0.95
 1.958 18.45 -27.20  0.95
 2.823 18.90 -27.65  0.15
 0.563 18.91 -23.89  0.95
 0.601 18.80 -24.14  0.95
 1.443 17.19 -27.69  0.95
 1.098 18.73 -25.58  0.95
 1.899 18.03 -27.51  0.95
 2.177 18.35 -27.61  0.94
 0.950 18.49 -25.58  0.95
 0.753 18.94 -24.64  0.95
 0.886 17.31 -26.63  0.95
 1.407 18.91 -25.93  0.95
 2.141 17.95 -27.96  0.95
 2.147 18.35 -27.57  0.95
 3.386 20.16 -26.85  0.65
 0.363 17.82 -24.03  0.95
 0.400 18.26 -23.78  0.95
 3.661 19.98 -27.15  0.78
 1.501 18.84 -26.10  0.95
 2.375 18.82 -27.39  0.71
 0.810 18.12 -25.62  0.95
 1.976 18.74 -26.94  0.95
 2.994 18.45 -28.26  0.57
 2.974 17.90 -28.78  0.58
 0.835 18.10 -25.71  0.95
 2.159 18.05 -27.88  0.94
 1.457 18.26 -26.64  0.95
 0.600 17.68 -25.26  0.94
 2.402 18.98 -27.26  0.67
 1.510 18.77 -26.18  0.95
 2.392 19.34 -26.89  0.00
 1.314 18.28 -26.41  0.95
 0.751 18.09 -25.49  0.95
 0.748 18.97 -24.59  0.95
 1.059 18.91 -25.34  0.95
 1.495 19.10 -25.83  0.95
 1.686 18.61 -26.62  0.95
 1.889 18.93 -26.59  0.95
 1.240 18.40 -26.16  0.95
 1.747 18.85 -26.47  0.95
 1.472 19.04 -25.87  0.95
 0.503 18.21 -24.29  0.95
 2.300 18.67 -27.46  0.80
 1.440 18.73 -26.14  0.95
 0.710 18.30 -25.13  0.95
 1.496 18.95 -25.98  0.95
 1.962 17.92 -27.73  0.95
 2.257 18.70 -27.37  0.86
 1.510 18.33 -26.62  0.95
 1.085 17.64 -26.66  0.95
 1.784 17.95 -27.42  0.95
 1.941 19.00 -26.62  0.95
 1.506 18.94 -26.01  0.95
 1.398 19.03 -25.80  0.95
 1.739 18.20 -27.11  0.95
 1.149 18.80 -25.60  0.95
 1.248 18.76 -25.81  0.95
 1.583 17.86 -27.20  0.95
 1.012 19.01 -25.18  0.95
 0.557 18.22 -24.55  0.95
 1.462 18.74 -26.16  0.95
 2.256 18.03 -28.04  0.95
 1.100 19.07 -25.25  0.95
 0.817 16.75 -27.01  0.95
 1.439 19.09 -25.78  0.95
 2.849 18.75 -27.83  0.15
 1.428 18.04 -26.83  0.95
 2.277 19.09 -27.01  0.84
 1.886 18.45 -27.07  0.95
 1.138 19.00 -25.38  0.95
 1.047 17.86 -26.37  0.95
 1.741 18.64 -26.67  0.95
 1.192 18.32 -26.15  0.95
 2.016 17.94 -27.80  0.95
 1.186 19.05 -25.42  0.95
 0.983 18.74 -25.39  0.95
 0.269 18.05 -23.08  0.95
 1.586 18.56 -26.51  0.95
 1.830 18.79 -26.64  0.95
 1.947 18.98 -26.65  0.95
 1.390 18.91 -25.91  0.95
 1.804 18.85 -26.54  0.95
 0.362 17.65 -24.19  0.95
 1.807 18.59 -26.82  0.95
 0.188 17.20 -22.81  0.95
 3.167 18.56 -28.28  0.85
 1.296 19.09 -25.57  0.95
 2.720 19.69 -26.79  0.00
 1.178 18.60 -25.85  0.95
 2.258 18.46 -27.61  0.88
 1.800 18.92 -26.47  0.95
 2.337 18.96 -27.21  0.77
 1.157 18.01 -26.41  0.95
 1.937 18.47 -27.14  0.95
 1.950 18.25 -27.38  0.95
 0.626 18.09 -24.95  0.95
 0.679 18.72 -24.57  0.93
 3.786 19.24 -27.99  0.93
 1.797 18.98 -26.40  0.95
 0.814 18.21 -25.55  0.95
 1.060 19.02 -25.23  0.95
 4.666 18.91 -28.75  0.95
 1.789 18.87 -26.51  0.95
 2.045 19.10 -26.68  0.95
 1.314 18.93 -25.76  0.95
 3.048 19.61 -27.14  0.46
 0.382 18.73 -23.22  0.95
 3.804 19.60 -27.64  0.94
 2.102 18.55 -27.31  0.95
 1.674 18.81 -26.40  0.95
 1.015 19.05 -25.14  0.95
 0.545 18.75 -23.96  0.95
 1.728 18.54 -26.76  0.95
 2.338 18.66 -27.51  0.80
 1.977 19.03 -26.64  0.95
 0.994 18.34 -25.81  0.95
