#  
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2016-12-06T16:51:48 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to: cds-question@unistra.fr
# 
#   
#Coosys J2000: eq_FK5 J2000 
#INFO votable-version=1.99+ (14-Oct-2013) 
#INFO -ref=VIZ5846ec8a2bd6 
#INFO -out.max=unlimited 
#INFO queryParameters=13 
#-oc.form=sexa
#-out.max=unlimited
#-order=I
#-out.src=J/ApJ/773/14/table9
#-nav=cat:J/ApJ/773/14&tab:{J/ApJ/773/14/table9}&key:source=J/ApJ/773/14/table9&HTTPPRM:&&-ref=VIZ5846ec8a2bd6&-out.max=50&-out.form=HTML Table&-oc.form=sexa&-order=I&-out=<z>&-out=<iMag>&-out=ibin&-out=NQ&-out=logPhi&-out=e_Phi&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=J/ApJ/773/14/table9
#-source=J/ApJ/773/14/table9
#-order=I
#-out=<z>
#-out=<iMag>
#-out=ibin
#-out=NQ
#-out=logPhi
#-out=e_Phi
#

#RESOURCE=yCat_17730014
#Name: J/ApJ/773/14
#Title: BOSS: quasar luminosity function (Ross+, 2013)
#Table J_ApJ_773_14_table9:
#Name: J/ApJ/773/14/table9
#Title: The narrowly binned BOSS DR9 Quasar Luminosity Function
#---Details of Columns:
#     <z>                   (F6.3)  [2.2/3.9] Mean redshift of the bin [ucd=src.redshift;pos.heliocentric]
#     <iMag> (mag)          (F7.3)  Mean absolute i band magnitude at z=2 [ucd=phys.magAbs]
#     ibin (mag)            (F7.3)  Absolute i band magnitude bin center [ucd=phys.magAbs]
#     NQ                    (I3)    [1/576] Number of quasars in the bin [ucd=meta.number]
#     logPhi ([Mpc-3/mag])  (F6.3)  [-8.6/-5.5]? Log of the quasar luminosity function log{Phi} (1) [ucd=phys.luminosity.fun]
#     e_Phi (10-9Mpc-3/mag) (F7.3)  [1.6/149]? Poisson error in Phi; divided by 1e-9 (1) [ucd=stat.error]
# ------ ------- ------- --- ------ -------
#                            lo            
#                            gPhi ( e_Phi (
#        <iMag   ibi         [Mpc-3 10-9Mpc
# <z>    > (mag) n (mag) NQ  /mag]) -3/mag)
# ------ ------- ------- --- ------ -------
 2.443 -25.056 -25.050 402 -5.855  41.590
 2.446 -24.768 -24.750 271 -5.925  38.354
 2.441 -24.466 -24.450 173 -5.988  35.674
# 2.436 -24.199 -24.150  25        
 2.543 -28.541 -28.650   3 -8.062   3.279
 2.546 -28.359 -28.350  19 -7.577   5.732
 2.545 -28.008 -28.050  31 -7.354   7.408
 2.548 -27.728 -27.750  50 -7.146   9.415
 2.547 -27.434 -27.450  98 -6.850  13.228
 2.548 -27.144 -27.150 149 -6.668  16.316
 2.548 -26.856 -26.850 204 -6.496  19.885
 2.547 -26.537 -26.550 247 -6.353  23.456
 2.553 -26.253 -26.250 296 -6.201  27.921
 2.547 -25.947 -25.950 342 -6.118  30.728
 2.549 -25.649 -25.650 343 -5.990  35.635
 2.546 -25.357 -25.350 320 -5.949  37.356
 2.544 -25.054 -25.050 273 -5.962  36.784
 2.548 -24.757 -24.750 175 -5.946  37.449
 2.551 -24.503 -24.450  83 -6.360  23.266
# 2.535 -24.256 -24.150   7        
 2.647 -28.592 -28.650  10 -7.608   5.534
 2.656 -28.354 -28.350  21 -7.406   6.985
 2.641 -28.037 -28.050  33 -7.244   8.420
 2.652 -27.730 -27.750  35 -7.145   9.433
 2.643 -27.442 -27.450  91 -6.714  15.500
 2.648 -27.143 -27.150 120 -6.605  17.554
 2.647 -26.844 -26.850 161 -6.397  22.313
 2.641 -26.545 -26.550 170 -6.290  25.240
 2.644 -26.253 -26.250 199 -6.117  30.807
 2.646 -25.955 -25.950 233 -6.067  32.639
 2.647 -25.648 -25.650 246 -5.999  35.306
 2.644 -25.347 -25.350 214 -6.037  33.781
 2.649 -25.059 -25.050 176 -6.046  33.434
 2.644 -24.750 -24.750 126 -6.025  34.264
 2.638 -24.506 -24.450  46 -6.834  13.491
# 2.642 -24.218 -24.150   2        
 2.744 -28.587 -28.650   5 -7.736   4.785
 2.740 -28.343 -28.350  11 -7.414   6.929
 2.748 -28.011 -28.050  20 -7.165   9.234
 2.759 -27.715 -27.750  36 -6.807  13.937
 2.739 -27.437 -27.450  50 -6.629  17.119
 2.755 -27.141 -27.150  61 -6.558  18.566
 2.743 -26.847 -26.850  82 -6.384  22.690
 2.742 -26.556 -26.550 110 -6.118  30.831
 2.747 -26.247 -26.250  86 -6.207  27.812
 2.746 -25.940 -25.950 122 -6.178  28.762
 2.746 -25.652 -25.650 159 -6.064  32.799
 2.745 -25.351 -25.350 154 -6.016  34.642
 2.747 -25.074 -25.050 136 -6.006  35.059
 2.739 -24.771 -24.750  84 -6.041  33.656
# 2.748 -24.487 -24.450  17        
# 2.734 -24.258 -24.150   2        
 2.965 -28.806 -28.950   1 -8.202   1.984
 2.895 -28.597 -28.650   5 -7.895   2.828
 2.904 -28.331 -28.350  24 -7.349   5.301
 2.904 -28.030 -28.050  38 -7.182   6.427
 2.899 -27.730 -27.750  82 -6.826   9.673
 2.904 -27.452 -27.450 119 -6.690  11.320
 2.906 -27.143 -27.150 142 -6.601  12.539
 2.907 -26.845 -26.850 178 -6.435  15.173
 2.897 -26.558 -26.550 211 -6.305  17.632
 2.907 -26.250 -26.250 237 -6.243  18.928
 2.906 -25.945 -25.950 252 -6.199  19.910
 2.899 -25.642 -25.650 292 -6.094  22.485
 2.893 -25.350 -25.350 250 -6.049  23.672
 2.900 -25.063 -25.050 229 -5.984  25.514
 2.893 -24.768 -24.750  96 -6.329  17.159
# 2.860 -24.502 -24.450  17        
 3.142 -28.904 -28.950   3 -8.270   1.653
 3.152 -28.636 -28.650  13 -7.910   2.502
 3.130 -28.338 -28.350  39 -7.437   4.315
 3.129 -28.031 -28.050  63 -7.238   5.423
 3.123 -27.739 -27.750  96 -7.049   6.742
 3.114 -27.448 -27.450 145 -6.881   8.182
 3.116 -27.141 -27.150 203 -6.720   9.849
 3.120 -26.847 -26.850 268 -6.589  11.449
 3.125 -26.541 -26.550 357 -6.428  13.774
 3.118 -26.253 -26.250 375 -6.377  14.619
 3.120 -25.955 -25.950 328 -6.343  15.202
 3.118 -25.653 -25.650 301 -6.216  17.582
 3.118 -25.358 -25.350 231 -6.095  20.222
 3.108 -25.065 -25.050 150 -5.908  25.071
 3.102 -24.789 -24.750  37 -6.870   8.281
# 3.087 -24.545 -24.450   7        
 3.334 -28.895 -28.950   7 -8.007   2.258
 3.347 -28.676 -28.650  17 -7.552   3.813
 3.364 -28.355 -28.350  24 -7.386   4.618
 3.354 -28.020 -28.050  37 -7.272   5.263
 3.354 -27.728 -27.750  69 -7.014   7.088
 3.348 -27.441 -27.450  82 -6.875   8.319
 3.345 -27.152 -27.150 115 -6.709  10.071
 3.332 -26.842 -26.850 133 -6.693  10.252
 3.334 -26.540 -26.550 137 -6.635  10.967
 3.328 -26.251 -26.250 138 -6.544  12.169
 3.314 -25.953 -25.950 124 -6.452  13.535
 3.322 -25.661 -25.650  79 -6.348  15.257
 3.315 -25.354 -25.350  46 -6.101  20.259
 3.290 -25.076 -25.050  23 -6.187  18.359
# 3.289 -24.851 -24.750   1        

