#  
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2016-11-16T15:36:15 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to: cds-question@unistra.fr
# 
#   
#Coosys J2000: eq_FK5 J2000 
#INFO votable-version=1.99+ (14-Oct-2013) 
#INFO -ref=VIZ582c7cc35ff2 
#INFO -out.max=unlimited 
#INFO queryParameters=16 
#-oc.form=sexa
#-out.max=unlimited
#-order=I
#-nav=cat:J/AJ/131/2766&tab:{J/AJ/131/2766/table6}&key:source=J/AJ/131/2766/table6&HTTPPRM:&&-ref=VIZ582c7cc35ff2&-out.max=200&-out.form=HTML Table&-order=I&-oc.form=sexa&-out.src=J/AJ/131/2766/table6&-out=z&-out=iMAG&-out=logPhi&-out=errPhi&-out=Fill&-out=<z>&-out=NQ&-out=NQcor&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&
#-order=I
#-out.src=J/AJ/131/2766/table6
#-source=J/AJ/131/2766/table6
#-order=I
#-out=z
#-out=iMAG
#-out=logPhi
#-out=errPhi
#-out=Fill
#-out=<z>
#-out=NQ
#-out=NQcor
#

#RESOURCE=yCat_51312766
#Name: J/AJ/131/2766
#Title: Quasar luminosity function from SDSS-DR3 (Richards+, 2006)
#Table J_AJ_131_2766_table6:
#Name: J/AJ/131/2766/table6
#Title: Binned quasar luminosity function
#---Details of Columns:
#     z                        (F5.2)  Redshift bin [ucd=src.redshift]
#     iMAG (mag)               (F6.2)  Absolute i band magnitude at z=2 [ucd=phys.magAbs]
#     logPhi ([Mpc-3.mag-1])   (F5.2)  Log of the space density [ucd=phys.luminosity.fun]
#     errPhi (10-9Mpc-3.mag-1) (F7.2)  Error in the space density [ucd=stat.error]
#     Fill                     (I1)    [0/1] Indicator of whether the bin is completely covered by data (1=yes, 0=no) [ucd=meta.code]
#     <z>                      (F5.2)  Mean redshift of quasars in the bin [ucd=src.redshift]
#     NQ                       (I3)    Number of quasars in the bin [ucd=meta.number]
#     NQcor                    (F5.1)  Corrected number of quasars in bin (1) [ucd=meta.number]
# ----- ------ ----- ------- - ----- --- -----
#              lo                             
#              gPhi  err     F                
#              ([Mpc Phi (10 i                
#       iMAG   -3.ma -9Mpc-3 l                
# z     (mag)  g-1]) .mag-1) l <z>   NQ  NQcor
# ----- ------ ----- ------- - ----- --- -----
 2.01 -27.45 -6.87    8.03 1  2.02 276 291.0
 2.01 -27.15 -6.67   10.22 1  2.01 447 471.1
 2.01 -26.85 -6.45   13.97 0  1.99 648 682.7
 2.01 -26.55 -6.24   40.12 0  1.90 430 464.3
 2.01 -26.25 -6.03  495.10 0  1.87  30  39.4
 2.40 -28.95 -8.12    2.07 1  2.44  14  17.9
 2.40 -28.65 -8.03    2.30 1  2.41  17  21.8
 2.40 -28.35 -7.59    3.71 1  2.37  48  59.7
 2.40 -28.05 -7.29    5.28 1  2.37  98 121.2
 2.40 -27.75 -7.05    7.01 1  2.37 164 208.1
 2.40 -27.45 -6.82    9.50 0  2.38 265 356.0
 2.40 -27.15 -6.61   22.11 0  2.30 246 309.0
 2.40 -26.85 -6.24  249.51 0  2.25  37  48.8
 2.80 -29.55 -8.57    1.76 1  2.70   3   6.2
 2.80 -29.25 -8.34    1.84 1  2.82   7  10.6
 2.80 -28.95 -8.08    6.51 1  2.82  10  19.2
 2.80 -28.65 -7.95    3.68 1  2.80  12  25.9
 2.80 -28.35 -7.65   11.94 1  2.83  24  51.5
 2.80 -28.05 -7.33   15.75 1  2.81  50 107.9
 2.80 -27.75 -7.11   20.63 1  2.82  75 180.9
 2.80 -27.45 -7.07   24.17 1  2.79  73 199.8
 3.25 -29.55 -8.54    1.10 1  3.35   7   8.2
 3.25 -29.25 -8.30    1.45 1  3.25  12  14.2
 3.25 -28.95 -8.33    1.40 1  3.20  11  13.1
 3.25 -28.65 -7.94    2.18 1  3.25  28  32.5
 3.25 -28.35 -7.64    3.12 1  3.23  54  64.6
 3.25 -28.05 -7.47    3.89 1  3.25  77  95.9
 3.25 -27.75 -7.32    4.72 1  3.24 103 134.3
 3.25 -27.45 -7.09    6.47 1  3.21 161 228.8
 3.25 -27.15 -6.99    7.48 1  3.22 191 287.9
 3.25 -26.85 -6.80   10.40 0  3.20 234 377.5
 3.25 -26.55 -6.63   39.58 0  3.11  52 103.7
 3.75 -28.95 -8.24    1.56 1  3.69  14  15.7
 3.75 -28.65 -8.02    2.03 1  3.67  22  25.7
 3.75 -28.35 -7.65    3.06 1  3.77  54  60.5
 3.75 -28.05 -7.64    3.11 1  3.76  55  62.1
 3.75 -27.75 -7.44    4.07 1  3.74  83  99.3
 3.75 -27.45 -7.27    4.96 1  3.76 119 144.2
 3.75 -27.15 -7.16    6.59 0  3.72 117 158.4
 3.75 -26.85 -6.89   25.48 0  3.59  27  54.6
 4.25 -29.25 -8.48    1.16 1  4.25   8   8.4
 4.25 -28.65 -8.18    1.64 1  4.22  16  16.9
 4.25 -28.35 -8.11    1.79 1  4.19  19  20.0
 4.25 -28.05 -7.91    2.26 1  4.21  30  31.8
 4.25 -27.75 -7.81    2.53 1  4.24  38  40.2
 4.25 -27.45 -7.59    3.84 0  4.16  44  47.1
 4.75 -28.65 -8.52    1.14 1  4.66   7   7.4
 4.75 -28.35 -8.46    1.22 1  4.71   8   8.4
 4.75 -28.05 -8.00    2.07 1  4.66  23  24.2
 4.75 -27.75 -8.06    1.94 0  4.66  20  21.1
 4.75 -27.45 -7.78   20.57 0  4.62   6   8.3

#END#  -ref=VIZ582c7cc35ff2 ===================================================================================================================================================================================================================================================================================================================
